period,current,average,efficient
2024-03-24 18:30:00,0.206,,
2024-03-24 19:00:00,0.285,,
2024-03-24 19:30:00,0.59,,
2024-03-24 20:00:00,0.477,,
2024-03-24 20:30:00,0.163,,
2024-03-24 21:00:00,0.207,,
2024-03-24 21:30:00,0.2,,
2024-03-24 22:00:00,0.189,,
2024-03-24 22:30:00,0.213,,
2024-03-24 23:00:00,0.21,,
2024-03-24 23:30:00,0.259,,
2024-03-23 00:00:00,0.152,,
2024-03-23 00:30:00,0.125,,
2024-03-23 01:00:00,0.146,,
2024-03-23 01:30:00,0.143,,
2024-03-23 02:00:00,0.102,,
2024-03-23 02:30:00,0.103,,
2024-03-23 03:00:00,0.078,,
2024-03-23 03:30:00,0.087,,
2024-03-23 04:00:00,0.099,,
2024-03-23 04:30:00,0.141,,
2024-03-23 05:00:00,0.151,,
2024-03-23 05:30:00,0.133,,
2024-03-23 06:00:00,0.127,,
2024-03-23 06:30:00,0.104,,
2024-03-23 07:00:00,0.098,,
2024-03-23 07:30:00,0.152,,
2024-03-23 08:00:00,0.122,,
2024-03-23 08:30:00,0.423,,
2024-03-23 09:00:00,0.833,,
2024-03-23 09:30:00,0.219,,
2024-03-23 10:00:00,0.194,,
2024-03-23 10:30:00,0.219,,
2024-03-23 11:00:00,0.134,,
2024-03-23 11:30:00,0.085,,
2024-03-23 12:00:00,0.154,,
2024-03-23 12:30:00,0.134,,
2024-03-23 13:00:00,0.094,,
2024-03-23 13:30:00,0.11,,
2024-03-23 14:00:00,0.132,,
2024-03-23 14:30:00,0.103,,
2024-03-23 15:00:00,0.133,,
2024-03-23 15:30:00,0.197,,
2024-03-23 16:00:00,0.998,,
2024-03-23 16:30:00,0.196,,
2024-03-23 17:00:00,0.158,,
2024-03-23 17:30:00,0.643,,
2024-03-23 18:00:00,1.316,,
2024-03-23 18:30:00,0.147,,
2024-03-23 19:00:00,0.11,,
2024-03-23 19:30:00,0.205,,
2024-03-23 20:00:00,0.201,,
2024-03-23 20:30:00,0.133,,
2024-03-23 21:00:00,0.112,,
2024-03-23 21:30:00,0.109,,
2024-03-23 22:00:00,0.079,,
2024-03-23 22:30:00,0.11,,
2024-03-23 23:00:00,0.077,,
2024-03-23 23:30:00,0.112,,
